CPT_Si_c600_wl;CPT_Si_c600;CPT_InGaAs_c800_wl;CPT_InGaAs_c800;CPT_InGaAs_c1000_wl;CPT_InGaAs_c1000;CPT_InGaAs_c1200_wl;CPT_InGaAs_c1200;CPT_InGaAs_c1400_wl;CPT_InGaAs_c1400;Uni_Si_c600_wl;Uni_Si_c600;Uni_InGaAsi_c700_wl;Uni_InGaAsi_c700;Uni_InGaAsi_c900_wl;Uni_InGaAsi_c900;Uni_InGaAsi_c1100_wl;Uni_InGaAsi_c1100;Uni_InGaAsi_c1300_wl;Uni_InGaAsi_c1300;Fluorimeter_wl;Fluorimeter
-158.07826;-2.95722734012071E-23;451.58441;3.30152606091805E-23;651.94867;7.57932011535317E-23;852.32196;9.43532228289729E-23;1052.7043;2.75157126086206E-22;3.795226799999999798e+02;1.884898552068093799e-02;5.290295099999999593e+02;2.765341339726481995e-02;6.291331999999999880e+02;1.061107866098110752e-01;7.818764700000000403e+02;3.081389508369188901e-01;9.825821099999999433e+02;9.945289081783457164e-01;305;0.03968
-156.5341;-5.45053965860764E-23;453.06775;3.89824418030975E-23;653.43048;7.85284095506984E-23;853.80231;9.75125443077535E-23;1054.1831;2.81893092371861E-22;3.809367399999999861e+02;1.895378856991222771e-02;5.303874899999999570e+02;2.807446925635969162e-02;6.304901700000000346e+02;1.067808417258173381e-01;7.832317399999999452e+02;3.094903245224831512e-01;9.839351000000000340e+02;9.937926960442207136e-01;306;0.04359
-154.98995;1.73891647196407E-23;454.55109;3.72908527030867E-23;654.91235;7.63115994480716E-23;855.28265;9.75376553787705E-23;1055.6619;2.755727014695E-22;3.823507799999999861e+02;2.247808833678736906e-02;5.317454500000000053e+02;2.850958133491749910e-02;6.318471200000000181e+02;1.075580537931738606e-01;7.845869999999999891e+02;3.108508326095328345e-01;9.852880900000000111e+02;9.946091388885702766e-01;307;0.04609
-153.44579;-4.633795635254E-23;456.03442;4.33025144786816E-23;656.39423;7.99876690777644E-23;856.76294;1.00382657836627E-22;1057.1406;2.82332642574465E-22;3.837647999999999797e+02;2.409441589852165388e-02;5.331033899999999903e+02;2.894340604782033935e-02;6.332040500000000520e+02;1.083438914989636459e-01;7.859422499999999445e+02;3.124097049611130328e-01;9.866410499999999502e+02;9.952260741491125717e-01;308;0.05132
-151.90162;-5.12357362839693E-23;457.51773;4.10494176335118E-23;657.87604;7.82021110619485E-23;858.24329;1.00124942821333E-22;1058.6194;2.75077160648148E-22;3.851788099999999986e+02;2.605750763301599784e-02;5.344613200000000006e+02;2.935695459195700879e-02;6.345609699999999975e+02;1.092626181744635883e-01;7.872974799999999505e+02;3.136746541165637003e-01;9.879940000000000282e+02;9.954117633576553548e-01;309;0.05677
-150.35746;-3.72219327484537E-23;459.00107;4.25546337172408E-23;659.35785;8.11842246421537E-23;859.72357;1.02604114758222E-22;1060.0981;2.82045203807283E-22;3.865928000000000111e+02;3.075685877619108513e-02;5.358192299999999477e+02;2.973141220195722745e-02;6.359178799999999683e+02;1.101408988187065202e-01;7.886526900000000069e+02;3.149702963868372119e-01;9.893469300000000430e+02;9.926860150216978429e-01;310;0.06108
-148.81328;5.18655952521788E-23;460.48438;3.50547812242494E-23;660.83972;7.8426125173229E-23;861.20392;1.02973275253053E-22;1061.5769;2.73589757884088E-22;3.880067799999999920e+02;3.435605894408624850e-02;5.371771199999999453e+02;3.006368317222478381e-02;6.372747600000000148e+02;1.111592945475644717e-01;7.900078899999999749e+02;3.158671439412534809e-01;9.906998499999999694e+02;9.911821981946743465e-01;311;0.06443
-147.26911;2.14927019375935E-23;461.96768;4.53499690338914E-23;662.32153;8.04671802118271E-23;862.6842;1.05796167009421E-22;1063.0557;2.80229492312859E-22;3.894207299999999918e+02;3.635514431751912107e-02;5.385349899999999934e+02;3.035939281884076496e-02;6.386316399999999476e+02;1.121305263829014964e-01;7.913630699999999933e+02;3.173841587442552403e-01;9.920527499999999463e+02;9.916616936101296798e-01;312;0.06763
-145.72493;1.10854369999771E-23;463.45099;4.69849321056376E-23;663.80334;7.79272144842738E-23;864.16449;1.05474514373847E-22;1064.5344;2.74579230889073E-22;3.908346700000000169e+02;3.989313622780038537e-02;5.398928499999999531e+02;3.063961338005504603e-02;6.399884899999999561e+02;1.131919222112918177e-01;7.927182400000000371e+02;3.187666186019305070e-01;9.934056399999999485e+02;9.911312424916677299e-01;313;0.07076
-144.18075;1.30765556564965E-23;464.9343;5.22907189642274E-23;665.28516;8.08902917730405E-23;865.64478;1.08791209280378E-22;1066.0132;2.81602120317874E-22;3.922485899999999788e+02;4.275346973405703965e-02;5.412506899999999632e+02;3.092972489594852242e-02;6.413453299999999899e+02;1.141546044929741960e-01;7.940733900000000176e+02;3.203233852591094166e-01;9.947585000000000264e+02;9.896932897136161422e-01;314;0.07637
-142.63656;8.51499754192693E-23;466.4176;4.57595144484053E-23;666.76697;7.77986640106977E-23;867.12506;1.07842848283025E-22;1067.4918;2.74064979610786E-22;3.936625000000000227e+02;4.524003975801448030e-02;5.426085100000000239e+02;3.125733091810346115e-02;6.427021600000000490e+02;1.152081840739605928e-01;7.954285300000000234e+02;3.216210096548149933e-01;9.961113599999999906e+02;9.896545129572023036e-01;315;0.08098
-141.09237;9.46516379984467E-23;467.90088;4.14936996286969E-23;668.24878;8.18921501822979E-23;868.60535;1.11562300430695E-22;1068.9706;2.80994652944519E-22;3.950763799999999719e+02;4.730348739016984605e-02;5.439663199999999961e+02;3.163922230895409304e-02;6.440589599999999564e+02;1.161959188965544787e-01;7.967836499999999660e+02;3.235319396929831615e-01;9.974641900000000305e+02;9.905204406656288318e-01;316;0.08818
-139.54818;-3.44915832332539E-23;469.38419;4.32191504644489E-23;669.73059;7.97731850838596E-23;870.08563;1.1006081467216E-22;1070.4493;2.74024686728234E-22;3.964902500000000032e+02;5.063106739605598844e-02;5.453241000000000440e+02;3.208405441048473028e-02;6.454157500000000027e+02;1.171705139607314011e-01;7.981387499999999591e+02;3.246551805839080762e-01;9.988170099999999820e+02;9.878868004315326523e-01;317;0.09636
-138.00398;-6.46276317908873E-23;470.86746;3.53504570353039E-23;671.2124;8.3055944127253E-23;871.56592;1.14485752557353E-22;1071.928;2.81064559705647E-22;3.979041100000000029e+02;5.324134314560324821e-02;5.466818700000000035e+02;3.258715303899176186e-02;6.467725299999999606e+02;1.180549381403407511e-01;7.994938399999999774e+02;3.260986805665527233e-01;1.000169800000000009e+03;9.853431686789674293e-01;318;0.10398
-136.45978;9.5644394078508E-24;472.35074;4.12517377841148E-23;672.69415;7.89756865652783E-23;873.04614;1.13445065327167E-22;1073.4067;2.74549027014414E-22;3.993179400000000214e+02;5.565002420718688503e-02;5.480396299999999883e+02;3.313857797656924453e-02;6.481292899999999690e+02;1.189664398119481686e-01;8.008489200000000210e+02;3.279210052871429637e-01;1.001522600000000011e+03;9.832924344111151349e-01;319;0.11031
-134.91557;1.49546334112159E-24;473.83401;4.92756062444239E-23;674.17596;8.34333935487926E-23;874.52643;1.1760323770889E-22;1074.8854;2.81183424374185E-22;4.007317600000000084e+02;5.743181180189019241e-02;5.493973600000000488e+02;3.372335169155121076e-02;6.494860300000000279e+02;1.199246576730088054e-01;8.022039700000000266e+02;3.296601070374894915e-01;1.002875400000000013e+03;9.816605013482248010e-01;320;0.11563
-133.37136;-3.75099259202573E-23;475.31729;3.85370776846316E-23;675.65778;7.95411942414077E-23;876.00665;1.13630604539503E-22;1076.364;2.74087117652206E-22;4.021455599999999890e+02;6.063139117257153321e-02;5.507550800000000208e+02;3.433017432846025008e-02;6.508427599999999984e+02;1.208929208110821885e-01;8.035590200000000323e+02;3.312117872021046461e-01;1.004228100000000040e+03;9.792187474725724261e-01;321;0.11819
